v1.0,20230105,hf
81,猩红草墙（天然）,653434
82,飞盘墙,381300
83,猩红石墙（天然）,3E2C2D
84,冰雪砖墙,4E6983
85,暗影木墙,20272D
86,蜂巢墙（天然）,795024
87,丛林蜥蜴砖墙（天然）,1C080A
88,紫花窗玻璃,73447C
89,黄花窗玻璃,81724A
90,蓝花窗玻璃,3E567B
91,绿花窗玻璃,5A795E
92,红花窗玻璃,873E3D
93,五彩花窗玻璃,646067
94,蓝板墙（天然）,243039
95,蓝瓷砖墙（天然）,302E3A
96,粉板墙（天然）,472E49
97,粉瓷砖墙（天然）,4C2E40
98,绿板墙（天然）,333F39
99,绿瓷砖墙（天然）,313A40
100,蓝板墙,243039
101,蓝瓷砖墙,302E3A
102,粉板墙,472E49
103,粉瓷砖墙,4C2E40
104,绿板墙,333F39
105,绿瓷砖墙,313A40
106,木栅栏,614833
107,铅栅栏,353535
108,蜂巢墙,795024
109,钯金柱墙,6E2513
110,泡泡糖块墙,873989
111,钛石块墙,211915
112,丛林蜥蜴砖墙,1C080A
113,南瓜墙,A04B07
114,干草墙,362A13
115,阴森木墙,2A1E35
116,圣诞树壁纸,3C2219
117,装饰壁纸,5B5340
118,糖棒壁纸,3B3D36
119,节日壁纸,2F2719
120,星星壁纸,50586F
121,波浪条纹壁纸,BAA78A
122,雪花壁纸,6E778F
123,坎卜斯犄角壁纸,8A806E
124,蓝绿壁纸,07301E
125,格林奇手指壁纸,4E6746
126,别致灰壁纸,6D6F7B
127,浮冰壁纸,70A6E2
128,音符壁纸,45388C
129,紫雨壁纸,482C91
130,彩虹壁纸,725579
131,烁石壁纸,68779E
132,星光天堂壁纸,4A4A4A
133,泡泡壁纸,5F77BF
134,铜管壁纸,904F16
135,黄鸭壁纸,3E828A
136,瀑布墙,3D62A9
137,熔岩瀑布墙,B7540E
138,乌木栅栏,3D3945
139,红木栅栏,4A2022
140,珍珠木栅栏,6E644C
141,暗影木栅栏,42463C
142,白王朝墙,D6CEBB
143,蓝王朝墙,536A63
144,奥术神符墙,594344
145,铁栅栏,787878
146,铜护板墙,673718
147,石板墙,4D4D4D
148,船帆,E5DAA1
149,针叶木墙,524641
150,针叶木栅栏,51453E
151,棕榈木墙,674C24
152,棕榈木栅栏,674C24
153,琥珀晶莹宝石墙,FF743F
154,紫晶晶莹宝石墙,BF3FFF
155,钻石晶莹宝石墙,DBDBE8
156,翡翠晶莹宝石墙,3FFF47
157,黯淡琥珀晶莹宝石墙,763F25
158,黯淡紫晶晶莹宝石墙,512576
159,黯淡钻石晶莹宝石墙,404359
160,黯淡翡翠晶莹宝石墙,257634
161,黯淡红玉晶莹宝石墙,76253A
162,黯淡蓝玉晶莹宝石墙,252576
163,黯淡黄玉晶莹宝石墙,767125
164,红玉晶莹宝石墙,FF3F3F
165,蓝玉晶莹宝石墙,3F51FF
166,黄玉晶莹宝石墙,EFFF3F
167,锡护板墙,4E4D3A
168,彩纸墙,546154
169,午夜彩纸墙,5C695A
170,洞壁（天然）,5D442F
171,洞壁（天然）,543C27
172,蜂蜜瀑布墙,A87D00
173,叶绿砖墙,316919
174,猩红矿砖墙,453036
175,蘑菇矿护板墙,2132BC
176,火星管道墙,4B8094
177,狱石砖墙,48322E
178,大理石墙（天然）,787F8F
179,光面大理石墙,7C8394
180,花岗岩墙（天然）,0F102D
181,光面花岗岩墙,1F1F4A
182,陨石砖墙,393763
183,大理石墙,787F8F
184,花岗岩墙,0F102D
185,洞壁（天然）,3D3D3D
186,水晶块墙,371764
187,沙岩墙,7E442B
188,腐化墙（天然）,3F2F3F
189,腐化墙（天然）,41334D
190,腐化墙（天然）,43483B
191,腐化墙（天然）,3C2643
192,猩红墙（天然）,7B382F
193,猩红墙（天然）,57181A
194,猩红墙（天然）,664035
195,猩红墙（天然）,7A2E36
196,土墙（天然）,634637
197,土墙（天然）,664939
198,土墙（天然）,5C4131
199,土墙（天然）,6A4B3A
200,神圣墙（天然）,512153
201,神圣墙（天然）,604F63
202,神圣墙（天然）,7C2A68
203,神圣墙（天然）,6F3670
204,丛林墙（天然）,4B4437
205,丛林墙（天然）,53533B
206,丛林墙（天然）,27432C
207,丛林墙（天然）,4D4D37
208,熔岩墙（天然）,5C241C
209,熔岩墙（天然）,603027
210,熔岩墙（天然）,6C2C1A
211,熔岩墙（天然）,6A2A26
212,岩石墙（天然）,46453D
213,岩石墙（天然）,393C39
214,岩石墙（天然）,45393B
215,岩石墙（天然）,473C42
216,硬化沙墙（天然）,945D34
217,硬化黑檀沙墙（天然）,332641
218,硬化猩红沙墙（天然）,2B1816
219,硬化珍珠沙墙（天然）,4E4972
220,黑檀沙岩墙（天然）,362444
221,猩红沙岩墙（天然）,49120C
222,珍珠沙岩墙（天然）,3A2F51
223,沙漠化石墙,734122
224,夜明砖墙,677068
225,齿轮墙,4C4738
226,落沙墙,857C42
227,降雪墙,536570
228,呆萌粉气球墙,8B0040
229,呆萌紫气球墙,500CA2
230,呆萌绿气球墙,005D51
231,铁砖墙,51443E
232,铅砖墙,252F39
233,病变块墙,483537
234,猩红石砖墙,672E30
235,光面沙岩墙,7E442B
236,蜘蛛窝墙,3F2322
237,日耀砖墙,392221
238,星旋砖墙,2D2E36
239,星云砖墙,2B3438
240,星尘砖墙,3E2D21
241,橙花窗玻璃,925F35
242,金星墙,4E4537
243,蓝星墙,173456
244,生命木墙（天然）,3A2318
245,铁艺栅栏,4A4A4A
246,黑檀石墙,2F2935
247,泥墙,312B2C
248,珍珠石墙,4D4651
249,雪墙,647681
250,紫晶石墙,4E4553
251,黄玉石墙,514A3F
252,蓝玉石墙,384251
253,翡翠石墙,32493B
254,红玉石墙,523B40
255,钻石石墙,464F51
256,绿苔藓墙,2E3A36
257,棕苔藓墙,38382E
258,红苔藓墙,393131
259,蓝苔藓墙,2D3338
260,紫苔藓墙,38303B
261,岩石土墙,503F37
262,古老石墙,37281C
263,蜘蛛墙,201C16
264,腐化草墙,242539
265,神圣草墙,193D43
266,冰雪墙,526C86
267,黑曜石墙,242141
268,猩红草墙,653434
269,猩红石墙,3E2C2D
270,洞穴土墙,5D442F
271,粗糙土墙,543C27
272,大理石墙,787F8F
273,花岗岩墙,0F102D
274,崎岖石墙,3D3D3D
275,沙岩墙,7E442B
276,腐化赘生墙,3F2F3F
277,腐化团块墙,41334D
278,腐化脓疱墙,43483B
279,腐化卷须墙,3C2643
280,猩红硬皮墙,7B382F
281,猩红疮痂墙,57181A
282,猩红尖牙墙,664035
283,猩红水疱墙,7A2E36
284,分层土墙,634637
285,剥落土墙,664939
286,破裂土墙,5C4131
287,皱曲土墙,6A4B3A
288,神圣棱柱墙,512153
289,神圣洞穴墙,604F63
290,神圣碎块墙,7C2A68
291,神圣结晶墙,6F3670
292,地衣石墙,4B4437
293,多叶丛林墙,53533B
294,常春藤石墙,27432C
295,丛林藤蔓墙,4D4D37
296,余烬墙,5C241C
297,灰渣墙,603027
298,岩浆墙,6C2C1A
299,阴燃石墙,6A2A26
300,破旧石墙,46453D
301,钟乳石墙,393C39
302,斑驳石墙,45393B
303,断裂石墙,473C42
304,硬化沙墙,945D34
305,硬化黑檀沙墙,332641
306,硬化猩红沙墙,2B1816
307,硬化珍珠沙墙,4E4972
308,黑檀沙岩墙,362444
309,猩红沙岩墙,49120C
310,珍珠沙岩墙,3A2F51
311,沙漠化石墙,734122
312,竹墙,244110
313,大竹墙,213D13
314,琥珀石墙,4A3A2C
315,竹栅栏,72782D
316,灰烬木墙,3A3440
317,灰烬木栅栏,504652
318,回声墙,060622
319,珊瑚礁墙,5B3052
320,臭臭墙,42271B
321,以太墙,3E536C
322,以太砖墙,3A5473
323,月锈砖墙,635E69
324,暗黑天界砖墙,505C68
325,星芒砖墙,385F7C
326,宇宙余烬砖墙,5C5E50
327,冷核砖墙,3E6674
328,水星砖墙,626769
329,星星皇家砖墙,575C76
330,天熔砖墙,545969
331,远古蓝砖墙,2A2C51
332,远古绿砖墙,22421A
333,远古粉砖墙,401931
334,远古金砖墙,4C4220
335,远古银砖墙,3C4143
336,远古铜砖墙,4C2D20
337,远古黑曜石砖墙,25243B
338,远古狱石砖墙,392220
339,远古钴砖墙,132B3C
340,远古秘银砖墙,2A433C
341,熔岩苔藓砖墙,681700
342,氩苔藓砖墙,5B0941
343,氪苔藓砖墙,11592B
344,氙苔藓砖墙,05415E
345,氖苔藓砖墙,3A0651
346,氦苔藓砖墙,FF00FF
